,question_number,question,solution,paper_name
10,B,"In the expansion of $\left(x^{2}+x y+y^{2}\right)^{n}$, where $n$ is a positive whole number, the coefficient of $x^{3} y^{2 n-3}$ is

(a) $\left(\begin{array}{l}n \\ 3\end{array}\right)$
(b) $\left(\begin{array}{l}n \\ 3\end{array}\right) \times\left(\begin{array}{l}n \\ 2\end{array}\right)$
(c) $\left(\begin{array}{l}n \\ 3\end{array}\right)+2 \times\left(\begin{array}{l}n \\ 2\end{array}\right)$
(d) $2 \times\left(\begin{array}{l}n \\ 2\end{array}\right)$
(e) $\left(\begin{array}{l}n \\ 3\end{array}\right)+\left(\begin{array}{l}n \\ 2\end{array}\right)$"," The first few terms of the binomial expansion of $\left(\left(x^{2}+x y\right)+y^{2}\right)^{n}$ are

$$
\left(\begin{array}{l}
n \\
\end{array}\right) y^{2 n}+\left(\begin{array}{l}
n \\
\end{array}\right)\left(x^{2}+x y\right) y^{2 n-2}+\left(\begin{array}{l}
n \\
\end{array}\right)\left(x^{2}+x y\right)^{2} y^{2 n-4}+\left(\begin{array}{l}
n \\
\end{array}\right)\left(x^{2}+x y\right)^{3} y^{2 n-6}+\ldots
$$
The first two terms don't contain any $x^{3} y^{2 n-3}$ terms, and any terms after these four must have a factor of $x^{4}$, so they don't contribute either. We need to think about the expansion of $\left(x^{2}+x y\right)^{2}$ which includes $2 x^{2} x y$, and the expansion of $\left(x^{2}+x y\right)^{3}$ which includes $(x y)^{3}$. So the coefficient is $2 \times\left(\begin{array}{l}n \\ 2\end{array}\right)+\left(\begin{array}{l}n \\ 3\end{array}\right)$.
The answer is (c)",2021b
11,C,"Given a real number $c$ with $0<c<1$, the line $y=c$ intersects the circle $x^{2}+y^{2}=1$ at two points. These two points, together with $(1,0)$ and $(-1,0)$, form a quadrilateral. Which of the following graphs is a plot of the area of that quadrilateral against $c$ ?

(a)
\begin{center}
\includegraphics[max width=\textwidth]{2024_03_31_c94a599a3f94f0a66112g-04(1)}
\end{center}
(b)
\begin{center}
\includegraphics[max width=\textwidth]{2024_03_31_c94a599a3f94f0a66112g-04}
\end{center}
(c)
\begin{center}
\includegraphics[max width=\textwidth]{2024_03_31_c94a599a3f94f0a66112g-04(4)}
\end{center}
(d)
\begin{center}
\includegraphics[max width=\textwidth]{2024_03_31_c94a599a3f94f0a66112g-04(3)}
\end{center}
(e)
\begin{center}
\includegraphics[max width=\textwidth]{2024_03_31_c94a599a3f94f0a66112g-04(2)}
\end{center}"," The quadrilateral looks like this

\begin{center}
\includegraphics[max width=\textwidth]{2024_03_31_24d21beca0d7dc415c9ag-1}
\end{center}
The area is $c+c \sqrt{1-c^{2}}$. That's clearly bigger than $c$ since the second term is positive (this rules out options (a) and (e) and arguably (b)). Near to $c=1$, the second part of the function steeply decreases to zero, a bit like the corner of a semi-circle. The area is therefore larger than 1 for values of $c$ that are less than 1 but very near to 1 . That matches with graph option (d). The answer is (d)",2021b
12,D,"A particle moves along the $x$-axis. At time $t=0$ the particle starts at $(0,0)$ with initial speed 1 , moving towards $x=1$. When the particle reaches $x=n$ for any positive integer $n$, its speed immediately changes to $2^{-n}$ but its direction is unchanged. What is the particle's position at time $t=100$ ?

(a) $x=\frac{89}{16}$,
(b) $x=\frac{105}{16}$,
(c) $x=\frac{3200}{32}$,
(d) $x=\frac{421}{64}$,
(e) The particle has escaped to infinity."," At time $t=1$ the particle reaches $x=1$. After a further 2 units of time the particle reaches $x=2$. This continues, and a geometric series shows that the particle reaches $x=n$ at time $t=2^{n}-1$. So the particle reaches $x=6$ at time $t=63$. Its speed immediately becomes $2^{-6}$ so it would take 64 further units of time to reach $x=7$. But just 37 units of time after the particle reached $x=6$, the time is $t=100$ and the particle is at $x=6+37 / 64=421 / 64$.

The answer is (d)",2021b
13,E,"The polynomial equation $x^{4}-(2 k+1) x^{2}+2 x+k^{2}-1=0$ has exactly four real solutions $x$ if and only if

(a) $k>1$,
(b) $k>-\frac{5}{4}$,
(c) $k>\frac{3}{4}$,
(d) $k<-\frac{5}{4}$ or $k>\frac{3}{4}$,
(e) $\frac{3}{4}<k<1$ or $k>1$."," The given polynomial is $\left(x^{2}-k\right)^{2}-(x-1)^{2}$ which can be factorised as

$$
\left(x^{2}-k-x+1\right)\left(x^{2}-k+x-1\right) \text {. }
$$
The first quadratic has two real roots if and only if $k>3 / 4$. The second quadratic has two real roots if and only if $k>-5 / 4$. So for four real roots we would need $k>3 / 4$. But we need\\
those four roots to be distinct, so we need to check that none of the roots of the first quadratic are also roots of the second quadratic. Equating the quadratics, this happens only if $x=1$, which is a root if and only if $k=1$. So we have exactly four real roots if $3 / 4<k<1$ or $k>1$ but for no other values of $k$.
\section*{The answer is (e)}",2021b
14,F,"The point $A$ has coordinates $(3,4)$. The origin $(0,0)$ and the point $A$ both lie on the circumference of a circle $\mathcal{C}$. The diameter of $\mathcal{C}$ through $A$ also meets $\mathcal{C}$ at another point $B$. The distance between $B$ and the origin is 10 . It follows that the coordinates of $B$ could be either

(a) $(-5 \sqrt{2}, 5 \sqrt{2})$ or $(5 \sqrt{2},-5 \sqrt{2})$,
(b) $(-4,3)$ or $(4,-3)$,
(c) $(-5,5 \sqrt{3})$ or $(5,-5 \sqrt{3})$,
(d) $(-8,6)$ or $(8,-6)$,
(e) $(-5 \sqrt{3}, 5)$ or $(5 \sqrt{3},-5)$."," The line $A B$ is a diameter, so the angle $A O B$ is a right angle. The line through $A$ and the origin is $y=4 x / 3$ and it must be perpendicular to the line through $B$ and the origin, so that line is $y=-3 x / 4$. Finally, the distance between $B$ and the origin is 10 , so we need to choose the two points on this line with the correct distance.

The answer is (d)",2021b
15,G,"Without calculating it directly, which of the following numbers is the square of $123,456,789$ ?

(a) $15,241,578,710,190,521$,
(b) $15,241,578,730,190,521$,
(c) $15,241,578,750,190,521$,
(d) $15,241,578,770,190,521$,
(e) $15,241,578,790,190,521$."," The number 123, 456, 789 is a multiple of 3 because the sum of its digits is 45, which is a multiple of 3 . So its square is also a multiple of 3 . Check the sum of the digits of each of these numbers; reading from the front $1+5+2+4+1+5+7+8$ is a multiple of 3 , and reading from the other end $1+9+5+2+1$ is a multiple of 3 . So we need the remaining two digits ( 7 and the digit that's different in each option) to sum to a multiple of 3 . Only 5 does this.

The answer is (c)",2021b
16,H,"A function $f(x)$ satisfies the following equation

$$
f(x)+f(y)=\frac{1}{f(x y)}
$$
for any real positive numbers $x$ and $y$, and also satisfies $f(x)>0$ for all real positive numbers $x$. It follows that $f(2021)$ is
(a) 1 ,
(b) 2021,
(c) $\log _{e} 2021$,
(d) $\frac{1}{\sqrt{2}}$,
(e) $\frac{1}{\log _{e} 2021}$.
[Hint: try substituting $x=1$ and $y=1$ into the given expression.]"," First try substituting in $x=1$ and $y=1$. This gives $2 f(1)=\frac{1}{f(1)}$ which we can solve for $f(1)= \pm \frac{1}{\sqrt{2}}$. The function is positive, so we take the positive root. Now set $y=1$ for $f(x)+\frac{1}{\sqrt{2}}=\frac{1}{f(x)}$ which is another quadratic, this time for $f(x)$. The positive solution is $f(x)=\frac{1}{\sqrt{2}}$. So the function is constant; it's $\frac{1}{\sqrt{2}}$ for all values of $x$, including $x=2021$.

The answer is $(\mathrm{d})$",2021b
17,I,"Given that there are positive real numbers $a, b, c$ that satisfy

$$
\int_{a}^{b} \log _{c}\left(\sin ^{4} x \tan ^{2} x\right) \mathrm{d} x=1 \text { and } \int_{a}^{b} \log _{c}\left(\sin ^{2} x \cos ^{2} x\right) \mathrm{d} x=3
$$
it follows that the value of
$$
\int_{a}^{b} \log _{c}\left(\sin ^{4} x \cos ^{2} x\right) \mathrm{d} x
$$
must be equal to
(a) 4 ,
(b) 5 ,
(c) 6 ,
(d) 7 ,
(e) 8 .
$\left[\right.$ Note that $\sin ^{4} x$ means $(\sin x)^{4}$.]"," Write

$$
A=\int_{a}^{b} \log _{c} \sin ^{2} x \mathrm{~d} x, \quad B=\int_{a}^{b} \log _{c} \cos ^{2} x \mathrm{~d} x
$$
The given equations are $3 A-B=1$ and $A+B=3$ with solution $A=1, B=2$. The integral we're asked for is $2 A+B$ which is 4 .
The answer is (a)
$\mathbf{J}$ If the line is normal to the cubic in two places then the gradient of the cubic is equal at those two points. By symmetry of the derivative of the cubic, these points must be $\pm a$ for some real $a$. Then by rotational symmetry of the graph of the cubic, the normal line must go through the origin. So we must find values of $m$ such that $y=m x$ is normal to the given curve at some point.
The points of intersection are at $x= \pm \sqrt{k+m}$. The tangent should be normal to the line $y=m x$, so $\left(3 x^{2}-k\right) m=-1$ at either of those points of intersection. This simplifies to $(3 m+2 k) m=-1$. This is a quadratic with solutions if and only if $k^{2} \geq 3$. But we need to make sure that the points of intersection at $x= \pm \sqrt{k+m}$ actually exist.
The roots of the quadratic are $m=\frac{1}{3}\left(-k \pm \sqrt{k^{2}-3}\right)$. If $k>0$ then the larger root clearly gives $k+m>0$. However if $k<0$ then for $k+m>0$, we would need $2 k+\sqrt{k^{2}-3}>0$ which would imply that $4 k^{2}<k^{2}-3$, which is impossible. So only the case $k \geq \sqrt{3}$ gives a line that's normal to the cubic with a real point of intersection.
The answer is (a)",2021b
18,A,"Whenever I toss a particular coin, it lands on heads with probability $\cos ^{2} \alpha$ for some fixed real number $\alpha$ (and the outcome is independent of other tosses). I toss the coin three times. The probability that the coin lands on heads two or more times is equal to

(a) $1+3 \sin ^{4} \alpha-2 \sin ^{6} \alpha$,
(b) $1-3 \sin ^{4} \alpha-2 \sin ^{6} \alpha$,
(c) $1+3 \sin ^{4} \alpha+2 \sin ^{6} \alpha$,
(d) $1-3 \sin ^{4} \alpha+2 \sin ^{6} \alpha$,
(e) $1+8 \sin ^{6} \alpha$."," Note that the probability that the coin does not land on heads is $1-\cos ^{2} \alpha=\sin ^{2} \alpha$. The probability of exactly two heads is $\left(\begin{array}{l}3 \\ 2\end{array}\right) \cos ^{4} \alpha \sin ^{2} \alpha$ and the probability of exactly three heads is $\left(\begin{array}{l}3 \\ 1\end{array}\right) \cos ^{6} \alpha$. Simplifying gives

$$
3 \cos ^{4} \alpha \sin ^{2} \alpha+\cos ^{6} \alpha=3\left(1-\sin ^{2} \alpha\right)^{2} \sin ^{2} \alpha+\left(1-\sin ^{2} \alpha\right)^{3}=1-3 \sin ^{4} \alpha+2 \sin ^{6} \alpha
$$
The answer is (d)",2022b
19,B,"Which of the following graphs is a sketch of $e^{-x / 2}-e^{-x}$ for $x>0$ ?

(a)
\begin{center}
\includegraphics[max width=\textwidth]{2024_03_31_352ee694f67dc559a52dg-03(3)}
\end{center}
(b)
\begin{center}
\includegraphics[max width=\textwidth]{2024_03_31_352ee694f67dc559a52dg-03(4)}
\end{center}
(c)
\begin{center}
\includegraphics[max width=\textwidth]{2024_03_31_352ee694f67dc559a52dg-03(1)}
\end{center}
(d)
\begin{center}
\includegraphics[max width=\textwidth]{2024_03_31_352ee694f67dc559a52dg-03}
\end{center}
(e)
\begin{center}
\includegraphics[max width=\textwidth]{2024_03_31_352ee694f67dc559a52dg-03(2)}
\end{center}"," If we write $u=e^{-x / 2}$ then the given expression is $u-u^{2}$. This quadratic has roots at 0 and 1 , and is positive in between. Now as $x$ varies from 0 to $\infty, u$ will decay exponentially from 1 to 0 . Along the way, $u-u^{2}$ will start at 0 , then vary through positive numbers, first increasing for $u>1 / 2$ then decreasing for $u<1 / 2$ and eventually tending towards 0 .

The answer is (a)",2022b
20,C,"For precisely which non-zero real values of $x$ is it true that

$$
x^{2}-3 x+2<\frac{x-1}{x} \quad ?
$$
(a) $x<1-\sqrt{2}$ or $x>1+\sqrt{2}$,
(b) $1-\sqrt{2}<x<0$ or $1<x<1+\sqrt{2}$,
(c) $1<x<1+\sqrt{2}$,
(d) $1-\sqrt{2}<x<1+\sqrt{2}$,
(e) $1-\sqrt{2}<x<0$."," The left-hand side factorises to give

$$
(x-1)(x-2)<\frac{(x-1)}{x}
$$
When are the two sides equal? That happens when $x=1$ or when $x(x-2)=1$, that is when $x=1 \pm \sqrt{2}$. Note that one of these roots is negative and the other is positive.
That helps us to draw a graph (it's perhaps useful to note that the right-hand side is $1-1 / x$ ).
\begin{center}
\includegraphics[max width=\textwidth]{2024_03_31_937c7aabca741f5fb902g-1(1)}
\end{center}
From the graph, we see that the quadratic is below the reciprocal graph for $1-\sqrt{<}<0$ and for $1<x<1+\sqrt{2}$.
The answer is (b)",2022b
21,D,"Consider the two inequalities

$$
1 \leq x^{2}+y^{2} \leq 4 \quad \text { and } \quad x^{2} \geq 3 y^{2}
$$
The total area of all regions of the $(x, y)$-plane where both inequalities hold is
(a) $\pi \sqrt{3}$,
(b) $\pi$,
(c) $2 \pi$,
(d) $\frac{\pi}{2}$,
(e) $\frac{\pi^{2}}{6}$."," The first inequality describes a region between two concentric circles. The second inequality is true if either (case 1) $x \geq 0$ and $-x \leq \sqrt{3} y \leq x$, or (case 2) $x \leq 0$ and $x \leq \sqrt{3} y \leq-x$.

\begin{center}
\includegraphics[max width=\textwidth]{2024_03_31_937c7aabca741f5fb902g-1}
\end{center}
The intersection points between the inner circle and those lines are $(\sqrt{3} / 2,1 / 2)$ and reflections, so the acute angle subtended at the origin by the two lines is $60^{\circ}$. We would therefore like one-third of the area between the two circles, which is $\frac{1}{3} \pi\left(2^{2}-1^{2}\right)=\pi$.
The answer is (b)
$\mathbf{E}$ The centre of the circle is $\left(\frac{p}{2}, \frac{q+1}{2}\right)$ and the radius is $\sqrt{\frac{p^{2}}{4}+\frac{(q-1)^{2}}{4}}$, so the equation of the circle is
$$
\left(x-\frac{p}{2}\right)^{2}+\left(y-\frac{q+1}{2}\right)^{2}=\frac{p^{2}}{4}+\frac{(q-1)^{2}}{4}
$$
On the line $y=0$, this a quadratic for $x$. We can set the discriminant equal to zero for a repeated solution. The quadratic is $x^{2}-p x+q=0$ and the discriminant is $p^{2}-4 q$.
\section*{The answer is (c)}",2022b
22,E,"The points $(0,1)$ and $(p, q)$ are on opposite ends of the diameter of circle $C$. The $x$-axis is a tangent to the circle $C$ if and only if

(a) $p=1+q$,
(b) $p q=1$,
(c) $p^{2}=4 q$,
(d) $p^{2}+(q-1)^{2}=1$,
(e) $p+q=1$."," We need $-1<1+x-x^{2}<1$. Let's find the points where $1+x-x^{2}=1$ (that's 0 and 1 ) and find the points where $1+x-x^{2}=-1$ (that's -1 and 2 ). Consider the graph.

\begin{center}
\includegraphics[max width=\textwidth]{2024_03_31_937c7aabca741f5fb902g-2}
\end{center}
We need either $-1<x<0$ or $1<x<2$.
The answer is (c)",2022b
23,F,"The series

$$
1+\left(1+x-x^{2}\right)+\left(1+x-x^{2}\right)^{2}+\left(1+x-x^{2}\right)^{3}+\ldots
$$
converges to $\frac{1}{x(x-1)}$ for precisely which real values of $x$ ?
(a) If and only if $-1<x<1$,
(b) If and only if we have both $x \neq 0$ and $x \neq 1$,
(c) If and only if either $-1<x<0$ or $1<x<2$,
(d) If and only if either $-2<x<-1$ or $0<x<1$,
(e) For all real $x$."," All of the options are of the form $y=k f(x)$ with $k$ constant so let's try that in the equation. We get $k \frac{\mathrm{d} f(x)}{\mathrm{d} x}$ on the left and $2(k f(x))^{1 / 4}$ on the right. Now $\frac{\mathrm{d} f(x)}{\mathrm{d} x}=(f(x))^{1 / 4}$ so we just need $k=2 k^{1 / 4}$. We can rearrange this to get $k=2^{4 / 3}$.

The answer is (c)",2022b
24,G,"Given that $y=f(x)$ is a solution to $\frac{\mathrm{d} y}{\mathrm{~d} x}=y^{1 / 4}$, it follows that one of the following functions is a solution to $\frac{\mathrm{d} y}{\mathrm{~d} x}=2 y^{1 / 4}$. Which one?

(a) $y=(2)^{-4} f(x)$,
(b) $y=(2)^{3} f(x)$,
(c) $y=(2)^{4 / 3} f(x)$,
(d) $y=(2)^{-3} f(x)$,
(e) $y=(2)^{4} f(x)$."," Clearly $f$ is always a positive whole integer from the recursion relations.

First find $n$ with $f(n)=1$. Because $f(2 n)=f(n)$ and $f(1)=1$, it must be the case that for all powers of $2, f(n)=1$. On the other hand, $f(2 n+1)=f(n)+f(n+1)$ is definitely at least two, so $f(n)$ is only equal to 1 on the powers of 2 .
Next consider values of $n$ for which $f(n)=2$. The first equation shows us that if we have $n$ even and $f(n)=2$ then $f(n / 2)=2$. Let's suppose instead that $n$ is odd and write $n=2 m+1$. Then we would have $f(n)=f(m)+f(m+1)$. The only way for this to be 2 is if the right-hand side is $1+1$, which only happens if both the consecutive numbers $m, m+1$ are powers of 2 , which only happens for 1,2 . Check that $f(3)=f(1)+f(2)=2$. So the points where $f(n)=2$ are precisely those where $n$ is three times a power of 2 (they're of the form $3 \times 2^{k}$ ).
Now finally consider values of $n$ for which $f(n)=3$. The first equation again tells us that we can multiply any such $n$ by 2 . Let's look for odd solutions. They must come from $1+2$ on the right-hand side of the second equation, which only happens if a power of $2\left(2^{l}\right.$ say) is one more or one less than a number of the form $3 \times 2^{k}$. That's a bit unusual though, because both $2^{l}$\\
and $3 \times 2^{k}$ are even, unless one of the powers of 2 is equal to 1 . So those consecutive numbers must be either 2 and 3 or they could be 3 and 4 . This gives $f(5)=3$ and $f(7)=3$, but that's it for odd numbers. The solutions to $f(n)=3$ are therefore $5 \times 2^{k}$ or $7 \times 2^{k}$. None of these are multiples of 35 .
\section*{The answer is (a)}",2022b
25,H,"Suppose that a function $f(n)$ on the positive integers is defined such that $f(1)=1$ and then for $n \geq 1$

$$
f(2 n)=f(n) \text { and } \quad f(2 n+1)=f(n)+f(n+1) \text {. }
$$
How many values of $n$ are there such that $f(n)=3$ and also $n$ is a multiple of 35?
(a) 0 ,
(b) 1 ,
(c) 2 ,
(d) 3 ,
(e) Infinitely many."," Take two to the power of each side for $x=(x+a) 2^{b}$

The right-hand side is a line with gradient $2^{b}$ and $y$-intercept $a 2^{b}$. We're looking for positive solutions, and there are two ways this could happen; either $a 2^{b}$ is larger than zero, but the line grows slower than $x$, or $a 2^{b}$ is negative but the line grows faster than $x$. This corresponds to (in the first case) $a>0$ and $b<0$, or (in the second case) $a<0$ and $b>0$. Either way, $a b<0$. There's only one intersection between two straight lines, if any.
The answer is (c)",2022b
26,I,"The number of positive solutions $x$ to the equation

$$
\log _{2} x=\log _{2}(x+a)+b,
$$
where $a$ and $b$ are non-zero real numbers, is
(a) zero if $a b<1$, or one if $a b>1$,
(b) one if $a b<1$, or two if $a b>1$,
(c) one if $a b<0$, or zero if $a b>0$,
(d) zero if $a b<0$, or one if $a b>0$,
(e) one if $a b<1$, or zero if $a b>1$."," Consider adding together these integrals to get

$$
\int_{1}^{2} \frac{x^{2}+x^{-2}}{1+x^{4}} \mathrm{~d} x
$$
Now note that the numerator is $x^{-2}$ multiplied by the denominator, so this simplifies to
$$
\int_{1}^{2} x^{-2} \mathrm{~d} x=\left[-x^{-1}\right]_{1}^{2}=\frac{1}{2}
$$
The integral we're asked for is therefore $\frac{1}{2}-A$.
The answer is (e)",2022b
27,A,"The function $p(x)=x^{3}$ is an example of a polynomial with the property that there is a point on the graph $y=p(x)$ with zero derivative which is neither a local maximum nor a local minimum. Which one of the following polynomials has the same property?

(a) $y=x^{3}-3 x^{2}+x$
(b) $y=x^{3}-3 x^{2}+2 x$
(c) $y=x^{3}-3 x^{2}+3 x$
(d) $y=x^{3}-3 x^{2}+4 x$
(e) $y=x^{3}-3 x^{2}+5 x$"," Each of the given polynomials is of the form $y=x^{3}-3 x^{2}+k x$. The first derivative is $3 x^{2}-6 x+k$, and the second derivative is $6 x-6$. So if there is a point with zero derivative, then it will either be a local maximum or a local minimum, unless $x=1$. At $x=1$ the first derivative is $k-3$, which is only zero if $k=3$.

The answer is (c)",2023b
